"Location"	"Date"	"VW_150cm"
"CAF201"	"06/20/2015"	"C"
"CAF201"	"06/21/2015"	"C"
"CAF201"	"06/22/2015"	"C"
"CAF201"	"06/23/2015"	"C"
"CAF201"	"06/24/2015"	"C"
"CAF201"	"06/25/2015"	"C"
"CAF201"	"06/26/2015"	"C"
"CAF201"	"06/27/2015"	"C"
"CAF201"	"06/28/2015"	"C"
"CAF201"	"06/29/2015"	"C"
"CAF201"	"06/30/2015"	"C"
"CAF201"	"07/01/2015"	"C"
"CAF201"	"07/02/2015"	"C"
"CAF201"	"07/03/2015"	"C"
"CAF201"	"07/04/2015"	"C"
"CAF201"	"07/17/2015"	"C"
"CAF201"	"07/18/2015"	"C"
"CAF201"	"07/19/2015"	"C"
"CAF201"	"07/20/2015"	"C"
"CAF201"	"07/21/2015"	"C"
"CAF201"	"07/22/2015"	"C"
"CAF201"	"07/23/2015"	"C"
"CAF201"	"07/24/2015"	"C"
"CAF201"	"07/25/2015"	"C"
"CAF201"	"07/26/2015"	"C"
"CAF201"	"07/27/2015"	"C"
"CAF201"	"07/28/2015"	"C"
"CAF201"	"07/29/2015"	"C"
"CAF201"	"07/30/2015"	"C"
"CAF201"	"07/31/2015"	"C"
"CAF201"	"08/01/2015"	"C"
"CAF201"	"08/02/2015"	"C"
"CAF201"	"08/03/2015"	"C"
"CAF201"	"08/04/2015"	"C"
"CAF201"	"08/05/2015"	"C"
"CAF201"	"08/06/2015"	"C"
"CAF201"	"08/07/2015"	"C"
"CAF201"	"08/08/2015"	"C"
"CAF201"	"08/09/2015"	"C"
"CAF201"	"08/10/2015"	"C"
"CAF201"	"08/11/2015"	"C"
"CAF201"	"08/12/2015"	"C"
"CAF201"	"08/13/2015"	"C"
"CAF201"	"08/14/2015"	"C"
"CAF201"	"08/15/2015"	"C"
"CAF201"	"08/16/2015"	"C"
"CAF201"	"08/17/2015"	"C"
"CAF201"	"08/18/2015"	"C"
"CAF201"	"08/19/2015"	"C"
"CAF201"	"08/20/2015"	"C"
"CAF201"	"08/21/2015"	"C"
"CAF201"	"08/22/2015"	"C"
"CAF201"	"08/23/2015"	"C"
"CAF201"	"08/24/2015"	"C"
"CAF201"	"08/25/2015"	"C"
"CAF201"	"08/26/2015"	"C"
"CAF201"	"08/27/2015"	"C"
"CAF201"	"08/28/2015"	"C"
"CAF201"	"08/29/2015"	"C"
"CAF201"	"08/30/2015"	"C"
"CAF201"	"08/31/2015"	"C"
"CAF201"	"09/01/2015"	"C"
"CAF201"	"09/02/2015"	"C"
"CAF201"	"09/03/2015"	"C"
"CAF201"	"09/04/2015"	"C"
"CAF201"	"09/05/2015"	"C"
"CAF201"	"09/06/2015"	"C"
"CAF201"	"09/07/2015"	"C"
"CAF201"	"09/08/2015"	"C"
"CAF201"	"09/09/2015"	"C"
"CAF201"	"09/10/2015"	"C"
"CAF201"	"09/11/2015"	"C"
"CAF201"	"09/12/2015"	"C"
"CAF201"	"09/13/2015"	"C"
"CAF201"	"09/14/2015"	"C"
"CAF201"	"09/15/2015"	"C"
"CAF201"	"09/16/2015"	"C"
"CAF201"	"09/17/2015"	"C"
"CAF201"	"09/18/2015"	"C"
"CAF201"	"09/19/2015"	"C"
"CAF201"	"09/20/2015"	"C"
"CAF201"	"09/21/2015"	"C"
"CAF201"	"09/22/2015"	"C"
"CAF201"	"09/23/2015"	"C"
"CAF201"	"09/24/2015"	"C"
"CAF201"	"09/25/2015"	"C"
"CAF201"	"09/26/2015"	"C"
"CAF201"	"09/27/2015"	"C"
"CAF201"	"09/28/2015"	"C"
"CAF201"	"09/29/2015"	"C"
"CAF201"	"09/30/2015"	"C"
"CAF201"	"10/01/2015"	"C"
"CAF201"	"10/02/2015"	"C"
"CAF201"	"10/03/2015"	"C"
"CAF201"	"10/04/2015"	"C"
"CAF201"	"10/05/2015"	"C"
"CAF201"	"10/06/2015"	"C"
"CAF201"	"10/07/2015"	"C"
"CAF201"	"10/08/2015"	"C"
"CAF201"	"10/09/2015"	"C"
"CAF201"	"10/10/2015"	"C"
"CAF201"	"10/11/2015"	"C"
"CAF201"	"10/12/2015"	"C"
"CAF201"	"10/13/2015"	"C"
"CAF201"	"10/14/2015"	"C"
"CAF201"	"10/15/2015"	"C"
"CAF201"	"10/16/2015"	"C"
"CAF201"	"10/17/2015"	"C"
"CAF201"	"10/18/2015"	"C"
"CAF201"	"10/19/2015"	"C"
"CAF201"	"10/20/2015"	"C"
"CAF201"	"10/21/2015"	"C"
"CAF201"	"10/22/2015"	"C"
"CAF201"	"10/23/2015"	"C"
"CAF201"	"10/24/2015"	"C"
"CAF201"	"10/25/2015"	"C"
"CAF201"	"10/26/2015"	"C"
"CAF201"	"10/27/2015"	"C"
"CAF201"	"10/28/2015"	"C"
"CAF201"	"10/29/2015"	"C"
"CAF201"	"10/30/2015"	"C"
"CAF201"	"10/31/2015"	"C"
"CAF201"	"11/02/2015"	"C"
"CAF201"	"11/03/2015"	"C"
"CAF201"	"11/04/2015"	"C"
"CAF201"	"11/05/2015"	"C"
"CAF201"	"11/06/2015"	"C"
