"Location"	"Date"	"VW_120cm"
"CAF133"	"08/06/2012"	"C"
"CAF201"	"07/12/2011"	"C"
"CAF201"	"07/13/2011"	"C"
"CAF201"	"07/14/2011"	"C"
"CAF201"	"07/15/2011"	"C"
"CAF201"	"07/16/2011"	"C"
"CAF201"	"07/17/2011"	"C"
"CAF201"	"07/18/2011"	"C"
"CAF201"	"07/19/2011"	"C"
"CAF201"	"07/20/2011"	"C"
"CAF201"	"07/21/2011"	"C"
"CAF201"	"10/26/2011"	"C"
"CAF201"	"10/27/2011"	"C"
"CAF201"	"10/28/2011"	"C"
"CAF201"	"10/29/2011"	"C"
"CAF201"	"10/30/2011"	"C"
"CAF201"	"10/31/2011"	"C"
"CAF201"	"11/01/2011"	"C"
"CAF201"	"11/02/2011"	"C"
"CAF201"	"11/03/2011"	"C"
"CAF201"	"11/04/2011"	"C"
"CAF201"	"11/05/2011"	"C"
"CAF201"	"11/06/2011"	"C"
"CAF201"	"11/07/2011"	"C"
"CAF201"	"11/08/2011"	"C"
"CAF201"	"11/09/2011"	"C"
"CAF201"	"11/10/2011"	"C"
"CAF201"	"11/11/2011"	"C"
"CAF201"	"11/12/2011"	"C"
"CAF201"	"11/13/2011"	"C"
"CAF201"	"11/14/2011"	"C"
"CAF201"	"11/15/2011"	"C"
"CAF201"	"11/16/2011"	"C"
"CAF201"	"11/17/2011"	"C"
"CAF201"	"11/18/2011"	"C"
"CAF201"	"11/19/2011"	"C"
"CAF201"	"11/20/2011"	"C"
"CAF201"	"11/21/2011"	"C"
"CAF201"	"11/22/2011"	"C"
"CAF201"	"11/23/2011"	"C"
"CAF201"	"11/24/2011"	"C"
"CAF201"	"11/25/2011"	"C"
"CAF201"	"11/26/2011"	"C"
"CAF201"	"11/27/2011"	"C"
"CAF201"	"11/28/2011"	"C"
"CAF201"	"11/29/2011"	"C"
"CAF201"	"11/30/2011"	"C"
"CAF201"	"12/01/2011"	"C"
"CAF201"	"12/02/2011"	"C"
"CAF201"	"12/03/2011"	"C"
"CAF201"	"12/04/2011"	"C"
"CAF201"	"12/05/2011"	"C"
"CAF201"	"12/06/2011"	"C"
"CAF201"	"12/07/2011"	"C"
"CAF201"	"12/08/2011"	"C"
"CAF201"	"08/14/2012"	"C"
"CAF201"	"08/15/2012"	"C"
"CAF201"	"08/16/2012"	"C"
"CAF201"	"08/17/2012"	"C"
"CAF201"	"08/18/2012"	"C"
"CAF316"	"03/21/2012"	"C"
"CAF316"	"03/22/2012"	"C"
"CAF316"	"03/23/2012"	"C"
"CAF316"	"03/24/2012"	"C"
"CAF316"	"03/25/2012"	"C"
"CAF316"	"03/26/2012"	"C"
"CAF316"	"03/27/2012"	"C"
"CAF316"	"03/28/2012"	"C"
"CAF316"	"03/29/2012"	"C"
"CAF316"	"03/30/2012"	"C"
"CAF316"	"03/31/2012"	"C"
"CAF316"	"04/01/2012"	"C"
"CAF316"	"04/02/2012"	"C"
"CAF316"	"04/03/2012"	"C"
"CAF316"	"04/04/2012"	"C"
"CAF316"	"04/05/2012"	"C"
"CAF316"	"04/06/2012"	"C"
"CAF316"	"04/07/2012"	"C"
"CAF316"	"04/08/2012"	"C"
"CAF316"	"04/09/2012"	"C"
"CAF316"	"04/10/2012"	"C"
"CAF316"	"05/25/2012"	"C"
"CAF316"	"05/26/2012"	"C"
"CAF316"	"05/27/2012"	"C"
"CAF316"	"05/28/2012"	"C"
"CAF316"	"05/29/2012"	"C"
"CAF316"	"05/30/2012"	"C"
"CAF316"	"05/31/2012"	"C"
"CAF316"	"06/01/2012"	"C"
"CAF316"	"06/02/2012"	"C"
"CAF316"	"06/03/2012"	"C"
"CAF316"	"06/04/2012"	"C"
"CAF316"	"06/05/2012"	"C"
"CAF316"	"06/06/2012"	"C"
"CAF316"	"06/07/2012"	"C"
"CAF316"	"06/08/2012"	"C"
"CAF316"	"06/09/2012"	"C"
"CAF316"	"06/10/2012"	"C"
"CAF316"	"06/11/2012"	"C"
"CAF316"	"06/12/2012"	"C"
"CAF316"	"06/18/2012"	"C"
"CAF316"	"06/19/2012"	"C"
"CAF316"	"06/20/2012"	"C"
"CAF316"	"06/21/2012"	"C"
"CAF316"	"06/22/2012"	"C"
"CAF316"	"06/23/2012"	"C"
"CAF316"	"06/24/2012"	"C"
"CAF316"	"06/25/2012"	"C"
"CAF316"	"06/26/2012"	"C"
"CAF316"	"06/27/2012"	"C"
"CAF316"	"06/28/2012"	"C"
"CAF316"	"06/29/2012"	"C"
"CAF316"	"06/30/2012"	"C"
"CAF316"	"07/01/2012"	"C"
"CAF316"	"07/02/2012"	"C"
"CAF316"	"07/03/2012"	"C"
"CAF316"	"07/04/2012"	"C"
"CAF316"	"07/05/2012"	"C"
"CAF316"	"07/06/2012"	"C"
"CAF316"	"07/07/2012"	"C"
"CAF316"	"07/08/2012"	"C"
"CAF316"	"07/09/2012"	"C"
"CAF316"	"07/10/2012"	"C"
"CAF316"	"07/11/2012"	"C"
"CAF316"	"07/12/2012"	"C"
"CAF316"	"07/13/2012"	"C"
"CAF316"	"07/14/2012"	"C"
"CAF316"	"07/15/2012"	"C"
"CAF316"	"07/16/2012"	"C"
"CAF316"	"07/17/2012"	"C"
"CAF316"	"07/18/2012"	"C"
