"Location"	"Date"	"Time"	"VW_60cm"
"CAF009"	"08/23/2013"	"6:00"	"D"
"CAF031"	"08/25/2011"	"16:00"	"D"
"CAF031"	"09/23/2011"	"13:00"	"D"
"CAF031"	"02/04/2016"	"6:00"	"D"
"CAF033"	"01/19/2012"	"20:00"	"D"
"CAF033"	"01/21/2012"	"9:00"	"D"
"CAF035"	"12/17/2010"	"14:00"	"D"
"CAF119"	"11/16/2013"	"13:00"	"D"
"CAF133"	"05/29/2012"	"6:00"	"D"
"CAF133"	"12/05/2012"	"7:00"	"D"
"CAF133"	"01/10/2014"	"15:00"	"D"
"CAF135"	"12/21/2014"	"5:00"	"D"
"CAF139"	"11/11/2011"	"23:00"	"D"
"CAF173"	"06/26/2012"	"14:00"	"D"
"CAF173"	"05/13/2015"	"8:00"	"D"
"CAF173"	"12/07/2015"	"18:00"	"D"
"CAF201"	"06/02/2012"	"9:00"	"D"
"CAF201"	"06/07/2012"	"21:00"	"D"
"CAF209"	"11/13/2011"	"3:00"	"D"
"CAF209"	"12/23/2013"	"18:00"	"D"
"CAF231"	"12/07/2010"	"17:00"	"D"
"CAF231"	"01/29/2014"	"20:00"	"D"
"CAF308"	"12/28/2011"	"21:00"	"D"
"CAF316"	"07/25/2011"	"22:00"	"D"
"CAF316"	"01/19/2012"	"19:00"	"D"
"CAF316"	"12/21/2014"	"3:00"	"D"
"CAF316"	"12/21/2014"	"5:00"	"D"
"CAF351"	"11/09/2015"	"17:00"	"D"
"CAF397"	"12/09/2010"	"20:00"	"D"
"CAF401"	"02/23/2012"	"2:00"	"D"
