"Location"	"Date"	"VW_60cm"
"CAF231"	"02/11/2008"	"C"
"CAF231"	"02/12/2008"	"C"
"CAF231"	"02/13/2008"	"C"
"CAF231"	"02/14/2008"	"C"
"CAF231"	"02/15/2008"	"C"
"CAF231"	"02/16/2008"	"C"
"CAF231"	"02/17/2008"	"C"
"CAF231"	"02/18/2008"	"C"
"CAF231"	"02/19/2008"	"C"
"CAF316"	"05/29/2012"	"C"
"CAF316"	"05/30/2012"	"C"
"CAF316"	"05/31/2012"	"C"
"CAF316"	"06/01/2012"	"C"
"CAF316"	"06/02/2012"	"C"
"CAF316"	"06/03/2012"	"C"
"CAF316"	"06/04/2012"	"C"
"CAF316"	"06/05/2012"	"C"
"CAF316"	"06/06/2012"	"C"
"CAF316"	"06/07/2012"	"C"
"CAF316"	"06/08/2012"	"C"
"CAF316"	"06/09/2012"	"C"
"CAF316"	"06/10/2012"	"C"
"CAF316"	"06/11/2012"	"C"
"CAF316"	"06/12/2012"	"C"
"CAF316"	"06/27/2012"	"C"
"CAF316"	"02/10/2013"	"C"
"CAF316"	"02/11/2013"	"C"
"CAF316"	"02/12/2013"	"C"
"CAF316"	"02/13/2013"	"C"
"CAF316"	"02/14/2013"	"C"
"CAF316"	"02/15/2013"	"C"
"CAF316"	"02/16/2013"	"C"
"CAF316"	"02/17/2013"	"C"
"CAF316"	"02/18/2013"	"C"
"CAF316"	"02/19/2013"	"C"
"CAF316"	"02/20/2013"	"C"
"CAF316"	"02/21/2013"	"C"
"CAF316"	"02/22/2013"	"C"
"CAF316"	"02/23/2013"	"C"
"CAF316"	"02/24/2013"	"C"
"CAF316"	"02/25/2013"	"C"
"CAF316"	"02/26/2013"	"C"
"CAF316"	"02/27/2013"	"C"
"CAF316"	"02/28/2013"	"C"
"CAF316"	"03/01/2013"	"C"
"CAF316"	"03/02/2013"	"C"
"CAF316"	"03/03/2013"	"C"
"CAF316"	"03/04/2013"	"C"
"CAF316"	"03/05/2013"	"C"
"CAF316"	"03/06/2013"	"C"
"CAF316"	"03/07/2013"	"C"
"CAF316"	"03/08/2013"	"C"
"CAF316"	"03/09/2013"	"C"
"CAF316"	"03/10/2013"	"C"
"CAF316"	"03/11/2013"	"C"
"CAF316"	"03/12/2013"	"C"
"CAF316"	"03/13/2013"	"C"
"CAF316"	"03/14/2013"	"C"
"CAF316"	"03/15/2013"	"C"
"CAF316"	"03/16/2013"	"C"
"CAF316"	"03/17/2013"	"C"
"CAF316"	"03/18/2013"	"C"
"CAF316"	"03/19/2013"	"C"
"CAF316"	"03/20/2013"	"C"
"CAF316"	"03/21/2013"	"C"
"CAF316"	"03/22/2013"	"C"
"CAF316"	"03/23/2013"	"C"
"CAF316"	"03/24/2013"	"C"
"CAF316"	"03/25/2013"	"C"
"CAF316"	"03/26/2013"	"C"
"CAF316"	"03/27/2013"	"C"
"CAF316"	"03/28/2013"	"C"
"CAF316"	"03/29/2013"	"C"
"CAF316"	"03/30/2013"	"C"
"CAF316"	"03/31/2013"	"C"
"CAF316"	"04/01/2013"	"C"
"CAF316"	"04/02/2013"	"C"
"CAF316"	"04/03/2013"	"C"
"CAF316"	"04/04/2013"	"C"
"CAF316"	"04/05/2013"	"C"
"CAF316"	"04/06/2013"	"C"
"CAF316"	"04/07/2013"	"C"
"CAF316"	"04/08/2013"	"C"
"CAF316"	"04/09/2013"	"C"
"CAF316"	"04/10/2013"	"C"
"CAF316"	"04/11/2013"	"C"
"CAF316"	"04/12/2013"	"C"
"CAF316"	"04/13/2013"	"C"
"CAF316"	"04/14/2013"	"C"
"CAF316"	"04/15/2013"	"C"
"CAF316"	"04/16/2013"	"C"
"CAF316"	"04/17/2013"	"C"
"CAF316"	"04/18/2013"	"C"
"CAF316"	"04/19/2013"	"C"
"CAF316"	"04/20/2013"	"C"
"CAF316"	"04/21/2013"	"C"
"CAF316"	"04/22/2013"	"C"
"CAF316"	"04/23/2013"	"C"
"CAF316"	"04/24/2013"	"C"
"CAF316"	"04/25/2013"	"C"
"CAF316"	"04/26/2013"	"C"
"CAF316"	"04/27/2013"	"C"
"CAF316"	"04/28/2013"	"C"
"CAF316"	"04/29/2013"	"C"
"CAF316"	"04/30/2013"	"C"
"CAF316"	"05/01/2013"	"C"
"CAF316"	"05/02/2013"	"C"
