"Location"	"Date"	"Time"	"VW_30cm"
"CAF009"	"12/30/2011"	"4:00"	"D"
"CAF033"	"12/02/2012"	"4:00"	"D"
"CAF035"	"11/13/2011"	"4:00"	"D"
"CAF067"	"11/09/2015"	"16:00"	"D"
"CAF079"	"09/20/2013"	"13:00"	"D"
"CAF079"	"09/22/2013"	"19:00"	"D"
"CAF079"	"09/23/2013"	"9:00"	"D"
"CAF079"	"09/24/2013"	"20:00"	"D"
"CAF079"	"09/25/2013"	"2:00"	"D"
"CAF079"	"09/25/2013"	"8:00"	"D"
"CAF133"	"04/20/2011"	"10:00"	"D"
"CAF133"	"05/03/2011"	"0:00"	"D"
"CAF133"	"01/24/2012"	"23:00"	"D"
"CAF133"	"02/21/2012"	"5:00"	"D"
"CAF133"	"03/08/2012"	"9:00"	"D"
"CAF133"	"12/07/2012"	"17:00"	"D"
"CAF133"	"01/15/2014"	"22:00"	"D"
"CAF133"	"01/16/2014"	"13:00"	"D"
"CAF133"	"01/22/2014"	"20:00"	"D"
"CAF133"	"01/23/2014"	"2:00"	"D"
"CAF133"	"06/29/2014"	"8:00"	"D"
"CAF133"	"07/01/2014"	"9:00"	"D"
"CAF133"	"07/08/2014"	"19:00"	"D"
"CAF139"	"12/28/2010"	"4:00"	"D"
"CAF173"	"11/11/2011"	"23:00"	"D"
"CAF173"	"01/25/2012"	"17:00"	"D"
"CAF173"	"03/11/2012"	"12:00"	"D"
"CAF201"	"11/20/2012"	"19:00"	"D"
"CAF209"	"10/28/2012"	"23:00"	"D"
"CAF217"	"11/22/2011"	"10:00"	"D"
"CAF231"	"07/02/2011"	"7:00"	"D"
"CAF231"	"07/26/2012"	"2:00"	"D"
"CAF231"	"07/26/2012"	"4:00"	"D"
"CAF231"	"06/17/2014"	"22:00"	"D"
"CAF231"	"11/25/2014"	"11:00"	"D"
"CAF237"	"11/12/2007"	"20:00"	"D"
"CAF308"	"04/04/2013"	"23:00"	"D"
"CAF316"	"12/02/2012"	"1:00"	"D"
"CAF351"	"11/16/2013"	"8:00"	"D"
"CAF377"	"10/25/2010"	"12:00"	"D"
"CAF377"	"12/27/2011"	"23:00"	"D"
"CAF377"	"10/31/2015"	"17:00"	"D"
"CAF401"	"02/23/2012"	"3:00"	"D"
"CAF401"	"02/23/2012"	"4:00"	"D"
"CAF401"	"09/18/2013"	"3:00"	"D"
"CAF401"	"09/20/2013"	"15:00"	"D"
"CAF401"	"09/20/2013"	"21:00"	"D"
"CAF401"	"09/21/2013"	"11:00"	"D"
"CAF401"	"09/21/2013"	"16:00"	"D"
"CAF401"	"09/21/2013"	"21:00"	"D"
"CAF401"	"09/24/2013"	"1:00"	"D"
"CAF401"	"09/24/2013"	"16:00"	"D"
"CAF401"	"09/24/2013"	"19:00"	"D"
"CAF401"	"09/25/2013"	"2:00"	"D"
"CAF401"	"10/31/2015"	"17:00"	"D"
