"Location"	"Date"	"Time"	"VW_90cm"
"CAF003"	"12/23/2013"	"18:00"	"D"
"CAF007"	"09/30/2013"	"3:00"	"D"
"CAF009"	"03/30/2012"	"7:00"	"D"
"CAF009"	"04/04/2012"	"18:00"	"D"
"CAF009"	"12/07/2012"	"15:00"	"D"
"CAF009"	"01/08/2013"	"16:00"	"D"
"CAF019"	"11/16/2013"	"13:00"	"D"
"CAF019"	"01/09/2014"	"4:00"	"D"
"CAF019"	"12/21/2014"	"21:00"	"D"
"CAF019"	"01/06/2016"	"13:00"	"D"
"CAF031"	"10/15/2011"	"14:00"	"D"
"CAF031"	"01/25/2012"	"15:00"	"D"
"CAF031"	"01/25/2012"	"16:00"	"D"
"CAF031"	"01/26/2012"	"8:00"	"D"
"CAF031"	"01/30/2012"	"5:00"	"D"
"CAF031"	"12/21/2014"	"5:00"	"D"
"CAF035"	"12/08/2010"	"2:00"	"D"
"CAF079"	"10/05/2014"	"8:00"	"D"
"CAF133"	"06/03/2010"	"12:00"	"D"
"CAF141"	"12/07/2010"	"19:00"	"D"
"CAF141"	"12/02/2012"	"10:00"	"D"
"CAF141"	"02/12/2014"	"9:00"	"D"
"CAF173"	"01/29/2014"	"22:00"	"D"
"CAF231"	"09/19/2014"	"16:00"	"D"
"CAF231"	"03/13/2016"	"23:00"	"D"
"CAF237"	"12/21/2014"	"4:00"	"D"
