Location	Depth	Silt	Clay	Sand
CAF245	60	60.928	29.851	9.221
CAF245	90	59.895	26.506	13.599
CAF245	120	57.656	30.043	12.3
CAF245	150	61.723	27.386	10.892
CAF275	30	58.225	29.012	12.763
CAF275	60	62.872	20.347	16.781
CAF275	90	62.418	25.69	11.892
CAF275	120	61.807	25.162	13.031
CAF275	150	64.649	24.236	11.114
CAF308	30	61.957	25.543	12.5
CAF308	60	60.674	27.473	11.853
CAF308	90	65.086	21.937	12.977
CAF308	120	60.544	25.857	13.589
CAF308	150	48.511	32.857	18.61
CAF310	30	62.591	23.295	14.114
CAF310	60	62.884	25.405	11.711
CAF310	90	63.248	21.481	15.272
CAF310	120	62.973	23.91	13.117
CAF310	150	60.409	21.629	17.962
CAF312	30	58.68	26.328	14.993
CAF312	60	63.209	24.378	12.412
CAF312	90	58.368	27.823	13.817
CAF312	120	61.24	24.218	14.541
CAF312	150	65.734	23.308	10.958
CAF314	30	64.241	25.261	10.498
CAF314	60	59.221	19.411	21.368
CAF314	90	50.985	35.906	13.108
CAF314	120	52.059	37.213	10.718
CAF314	150	50.131	36.624	13.245
CAF316	30	62.117	23.574	14.309
CAF316	60	65.077	18.264	16.66
CAF316	90	70.574	12.105	17.32
CAF316	120	61.375	25.063	13.561
CAF316	150	58.695	28.753	12.551
CAF349	30	61.21	27.347	11.442
CAF349	60	62.458	27.21	10.332
CAF349	90	64.561	24.82	10.619
CAF349	120	67.147	21.059	11.794
CAF349	150	67.232	21.099	11.669
CAF351	30	61.503	28.198	10.299
CAF351	60	61.151	27.396	11.453
CAF351	90	50.451	24.413	25.132
CAF351	120	64.354	22.908	12.738
CAF351	150	NA	NA	NA
CAF357	30	61.314	25.451	13.236
CAF357	60	56.915	25.199	17.886
CAF357	90	64.513	21.825	13.662
CAF357	120	58.292	30.902	10.806
CAF357	150	41.851	44.546	13.603
CAF377	30	62.07	25.948	11.984
CAF377	60	63.53	22.612	13.858
CAF377	90	63.652	23.963	12.384
CAF377	120	61.982	25.491	12.527
CAF377	150	55.435	26.579	17.986
CAF397	30	58.299	28.443	13.268
CAF397	60	61.644	26.086	12.282
CAF397	90	59.444	26.941	13.608
CAF397	120	58.812	27.685	13.511
CAF397	150	59.425	27.963	12.648
CAF401	30	59.423	28.957	11.621
CAF401	60	62.899	21.938	15.163
CAF401	90	65.829	20.547	13.624
CAF401	120	58.878	30.621	10.501
CAF401	150	49.77	42.688	7.542
